Latin word	English word	English score	French word	French score	Spanish word	Spanish scoremomentum	moment	0.7828539609909058	moment	0.8118242025375366	momento	0.8032853007316589	
vocem	voice	0.7869969010353088	voix	0.8404454588890076	voz	0.8030571341514587	
passus	pass	0.7331386208534241	passer	0.8326271176338196	pasar	0.7980519533157349	
hora	hour	0.7974990606307983	heure	0.8555104732513428	hora	0.7799190282821655	
quiritare	cry	0.7458192110061646	crier	0.7305275201797485	gritar	0.757429838180542	
sortem	sort	0.750452995300293	sorte	0.7055282592773438	suerte	0.6302262544631958	
partem	part	0.7081912159919739	part	0.7003297209739685	parte	0.8312457799911499	
securus	sure	0.722719132900238	sûr	0.7552809715270996	seguro	0.7213811278343201	
aer	air	0.639340341091156	air	0.8010895848274231	aire	0.699813961982727	
idea	idea	0.7257159352302551	idée	0.7481922507286072	idea	0.6824436187744141	
persona	person	0.7124512791633606	personne	0.7731718420982361	persona	0.6892027854919434	
silentium	silence	0.6960675716400146	silence	0.7500779628753662	silencio	0.7697892785072327	
pungo	point	0.6982935667037964	point	0.7838497757911682	punto	0.7471922636032104	
rationem	reason	0.746459424495697	raison	0.7611601948738098	razón	0.7498136162757874	
tonus	tone	0.7627283930778503	ton	0.7872856259346008	tono	0.7428661584854126	
stare	stay	0.7610543966293335	être	0.9105830192565918	estar	0.86381995677948	
possibilis	possible	0.7176554799079895	possible	0.7309002876281738	posible	0.7132200002670288	
historia	story	0.735505223274231	histoire	0.7569390535354614	historia	0.717219352722168	
papyrus	paper	0.7272686958312988	papier	0.786887526512146	papel	0.7470600605010986	
familia	family	0.6220110058784485	famille	0.7275742888450623	familia	0.6668562889099121	
intrare	enter	0.7119229435920715	entrer	0.8464365005493164	entrar	0.8264431953430176	
continuare	continue	0.6811923384666443	continuer	0.7302629947662354	continuar	0.6217156648635864	
spiritus	spirit	0.6593042016029358	esprit	0.770514965057373	espíritu	0.756721556186676	
ordinem	order	0.6563276648521423	ordre	0.710614025592804	orden	0.5614983439445496	
repetere	repeat	0.6339516639709473	répéter	0.6938709616661072	repetir	0.7456246614456177	
videre	view	0.6651660203933716	vue	0.6563320159912109	vista	0.7101027965545654	
recipere	receive	0.7390331029891968	recevoir	0.7596635222434998	recibir	0.7429201006889343	
praesentia	presence	0.6565192937850952	présence	0.7472608089447021	presencia	0.65578293800354	
offerre	offer	0.6778534054756165	offrir	0.747515857219696	ofrecer	0.7272337079048157	
effectus	effect	0.6660674214363098	effet	0.7199791073799133	efecto	0.7226139903068542	
status	state	0.7298932075500488	état	0.6370133757591248	estado	0.7282264232635498	
dubitare	doubt	0.6947975754737854	doute	0.8004693388938904	duda	0.7484849691390991	
